"Hide and clear configuration","Cacher et effacer la configuration"
"Cancel pending orders after 30 minutes","Annuler les commandes en attente de plus de 30 minutes"
"For multi currency store views, allow to pay with selected currency","Pour les vues magasin multidevises, permettre de payer avec la devise sélectionnée"
"Offer this payment method only for the following customer groups","Proposer ce mode de paiement uniquement pour les groupes de clients suivants"
"Offer this payment method only if one of the following shipping methods is selected","Proposer ce mode de paiement uniquement lorsqu'un des modes de livraison suivant est sélectionné"
"Do not offer this payment method if one of the following shipping methods is selected","Ne pas proposer ce mode de paiement lorsqu'un des modes de livraison suivant est sélectionné"
"Do not offer this payment method if one of the following payment methods is available","Ne pas proposer ce mode de paiement lorsqu'un des modes de paiement suivant est disponible"
"Other payment methods","Les autres modes de paiement"
"Allowed countries for this method:","Pays autorisés pour ce mode :"
"Allowed countries for customers:","Pays autorisés pour les clients :"
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"You will be redirected to payment page after submitting order.","Vous allez être redirigé(e) vers la page de paiement après la validation de la commande."
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Impossible to issue a refund transaction because the capture transaction does not exist.","Remboursement impossible car la transaction initiale n'existe pas."
"Refund completed by %s (%s).","Remboursement effectué par %s (%s)."
"Payment canceled.","Paiement annulé."
"Payment refused.","Paiement refusé."
